time,select
2022-10-30 08:00:00+08:00,BTC
2022-10-31 08:00:00+08:00,BTC
2022-11-01 08:00:00+08:00,ETH
2022-11-02 08:00:00+08:00,BTC
2022-11-03 08:00:00+08:00,ETH
2022-11-04 08:00:00+08:00,ETH
2022-11-05 08:00:00+08:00,BTC
2022-11-06 08:00:00+08:00,BTC
2022-11-07 08:00:00+08:00,ETH
2022-11-08 08:00:00+08:00,BTC
2022-11-09 08:00:00+08:00,BTC
2022-11-10 08:00:00+08:00,ETH
2022-11-11 08:00:00+08:00,ETH
2022-11-12 08:00:00+08:00,BTC
2022-11-13 08:00:00+08:00,ETH
2022-11-14 08:00:00+08:00,ETH
2022-11-15 08:00:00+08:00,BTC
2022-11-16 08:00:00+08:00,BTC
2022-11-17 08:00:00+08:00,BTC
2022-11-18 08:00:00+08:00,ETH
2022-11-19 08:00:00+08:00,ETH
2022-11-20 08:00:00+08:00,BTC
2022-11-21 08:00:00+08:00,ETH
2022-11-22 08:00:00+08:00,ETH
2022-11-23 08:00:00+08:00,ETH
2022-11-24 08:00:00+08:00,ETH
2022-11-25 08:00:00+08:00,ETH
2022-11-26 08:00:00+08:00,ETH
2022-11-27 08:00:00+08:00,BTC
2022-11-28 08:00:00+08:00,BTC
2022-11-29 08:00:00+08:00,ETH
2022-11-30 08:00:00+08:00,ETH
2022-12-01 08:00:00+08:00,BTC
2022-12-02 08:00:00+08:00,ETH
2022-12-03 08:00:00+08:00,BTC
2022-12-04 08:00:00+08:00,ETH
